dimRec,rankTrue,Wilks_Theorem,Our_Model
25,5,624.0,318.45008429
25,6,624.0,359.364021289
25,7,624.0,397.445893673
25,8,624.0,433.800525692
25,9,624.0,469.548674004
25,10,624.0,505.928302589
26,1,675.0,99.4590960019
26,2,675.0,173.036703941
26,3,675.0,234.535715468
26,4,675.0,288.007555053
26,5,675.0,335.668479327
26,6,675.0,379.032586925
26,7,675.0,419.300933477
26,8,675.0,457.547484709
26,9,675.0,494.834318733
26,10,675.0,532.30332682
27,1,728.0,104.000384286
27,2,728.0,181.325691501
27,3,728.0,246.153196581
27,4,728.0,302.640736533
27,5,728.0,353.052018594
27,6,728.0,398.919347213
27,7,728.0,441.440867013
27,8,728.0,481.667500636
27,9,728.0,520.615046087
27,10,728.0,559.348964002
28,1,783.0,108.560665183
28,2,783.0,189.661273886
28,3,783.0,257.849323968
28,4,783.0,317.38881056
28,5,783.0,370.591945938
28,6,783.0,419.011532892
28,7,783.0,463.846704397
28,8,783.0,506.131561139
28,9,783.0,546.845343393
28,10,783.0,586.992211541
29,1,840.0,113.139058021
29,2,840.0,198.041317575
29,3,840.0,269.620468936
29,4,840.0,332.246311867
29,5,840.0,388.280377813
29,6,840.0,439.29782743
29,7,840.0,486.501949317
29,8,840.0,530.915030981
29,9,840.0,573.487480766
29,10,840.0,615.173993379
30,1,899.0,117.734751102
30,2,899.0,206.463856209
30,3,899.0,281.463295099
30,4,899.0,347.20824311
30,5,899.0,406.110173605
30,6,899.0,459.768121377
30,7,899.0,509.392124707
30,8,899.0,555.99673177
30,9,899.0,600.509731359
30,10,899.0,643.845735909
31,1,960.0,122.346994221
31,2,960.0,214.927072248
31,3,960.0,293.374724791
31,4,960.0,362.270016291
31,5,960.0,424.074831227
31,6,960.0,480.413320085
31,7,960.0,532.504411
31,8,960.0,581.358256514
31,9,960.0,627.885074595
31,10,960.0,672.96692633
